都道府県,転入率,転出率,婚姻率,離婚率,
全国,2.05,2.05,4.04,1.43,
北海道,1.05,1.15,3.63,1.63,
青森県,1.37,1.85,3.04,1.38,
岩手県,1.39,1.79,2.97,1.26,
宮城県,2.03,2.09,3.70,1.34,
秋田県,1.17,1.49,2.63,1.15,
山形県,1.23,1.61,3.06,1.15,
福島県,1.37,1.74,3.40,1.43,
茨城県,2.06,2.13,3.58,1.37,
栃木県,1.97,2.05,3.75,1.39,
群馬県,1.95,2.00,3.50,1.45,
埼玉県,2.59,2.25,3.93,1.40,
千葉県,2.58,2.50,3.96,1.37,
東京都,3.22,2.74,5.36,1.37,
神奈川県,2.56,2.25,4.35,1.39,
新潟県,1.06,1.33,3.17,1.12,
富山県,1.38,1.56,3.44,1.06,
石川県,1.67,1.89,3.77,1.12,
福井県,1.30,1.76,3.74,1.13,
山梨県,1.92,1.99,3.58,1.41,
長野県,1.57,1.66,3.61,1.27,
岐阜県,1.68,1.92,3.35,1.32,
静岡県,1.65,1.83,3.66,1.38,
愛知県,1.66,1.76,4.46,1.48,
三重県,1.76,2.13,3.70,1.42,
滋賀県,2.18,2.18,4.00,1.30,
京都府,2.35,2.45,3.75,1.38,
大阪府,2.03,1.91,4.60,1.65,
兵庫県,1.73,1.87,3.86,1.46,
奈良県,1.89,1.99,3.22,1.36,
和歌山県,1.35,1.59,3.54,1.53,
鳥取県,1.58,1.91,3.64,1.40,
島根県,1.65,1.94,3.29,1.24,
岡山県,1.57,1.87,3.97,1.50,
広島県,1.63,2.05,3.94,1.44,
山口県,1.79,2.07,3.50,1.34,
徳島県,1.36,1.72,3.37,1.43,
香川県,1.76,2.06,3.68,1.58,
愛媛県,1.37,1.74,3.43,1.48,
高知県,1.38,1.66,3.24,1.58,
福岡県,2.06,1.97,4.27,1.65,
佐賀県,2.05,2.19,3.68,1.30,
長崎県,1.72,2.23,3.44,1.36,
熊本県,1.78,1.87,3.70,1.44,
大分県,1.79,2.07,3.65,1.48,
宮崎県,1.81,1.91,3.62,1.67,
鹿児島県,1.75,1.93,3.60,1.57,
沖縄県,1.97,2.00,4.46,2.10,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
